"year","month","day","dep_time","sched_dep_time","dep_delay","arr_time","sched_arr_time","arr_delay","carrier","flight","tailnum","origin","dest","air_time","distance","hour","minute","time_hour"
2013,10,16,1757,"1805",-8,2013,2028,-15,"UA",1139,"N39475","EWR","DEN",226,1605,18,5,"2013-10-16T22:00:00Z"
2013,7,14,1952,"1930",22,2243,2248,-5,"B6",71,"N592JB","JFK","SLC",252,1990,19,30,"2013-07-14T23:00:00Z"
2013,9,12,2042,"1600",282,2316,1835,281,"DL",221,"N906DE","LGA","ATL",105,762,16,0,"2013-09-12T20:00:00Z"
2013,10,25,624,"630",-6,825,839,-14,"EV",4393,"N14568","EWR","IND",100,645,6,30,"2013-10-25T10:00:00Z"
2013,9,2,1308,"1314",-6,1514,1506,8,"US",2095,"N123UW","EWR","CLT",83,529,13,14,"2013-09-02T17:00:00Z"
2013,2,23,612,"610",2,906,915,-9,"AA",1837,"N3JLAA","LGA","MIA",159,1096,6,10,"2013-02-23T11:00:00Z"
2013,5,29,1112,"1110",2,1344,1356,-12,"DL",695,"N374NW","JFK","MCO",127,944,11,10,"2013-05-29T15:00:00Z"
2013,10,9,1037,"1029",8,1239,1249,-10,"US",625,"N542UW","JFK","PHX",277,2153,10,29,"2013-10-09T14:00:00Z"
2013,6,11,910,"915",-5,1035,1105,-30,"AA",313,"N4XLAA","LGA","ORD",109,733,9,15,"2013-06-11T13:00:00Z"
2013,5,10,1855,"1856",-1,2214,2150,24,"UA",1454,"N16713","LGA","IAH",214,1416,18,56,"2013-05-10T22:00:00Z"
2013,7,2,1201,"1209",-8,1303,1316,-13,"B6",1191,"N265JB","JFK","ACK",45,199,12,9,"2013-07-02T16:00:00Z"
2013,4,21,1316,"1256",20,1556,1519,37,"EV",4141,"N15980","EWR","ATL",124,746,12,56,"2013-04-21T16:00:00Z"
2013,3,15,1056,"1056",0,1325,1341,-16,"UA",1152,"N38467","EWR","LAS",304,2227,10,56,"2013-03-15T14:00:00Z"
2013,2,14,1458,"1455",3,1833,1825,8,"AA",1769,"N5EUAA","JFK","MIA",191,1089,14,55,"2013-02-14T19:00:00Z"
2013,9,24,1424,"1423",1,1656,1709,-13,"UA",1695,"N68453","EWR","IAH",193,1400,14,23,"2013-09-24T18:00:00Z"
2013,2,5,1854,"1900",-6,2206,2235,-29,"DL",87,"N705TW","JFK","LAX",323,2475,19,0,"2013-02-06T00:00:00Z"
2013,3,11,1503,"1508",-5,1751,1758,-7,"UA",1233,"N73152","EWR","IAH",202,1400,15,8,"2013-03-11T19:00:00Z"
2013,8,16,1603,"1600",3,1842,1844,-2,"DL",847,"N944DL","LGA","ATL",122,762,16,0,"2013-08-16T20:00:00Z"
2013,3,27,1843,"1845",-2,2205,2210,-5,"B6",171,"N806JB","JFK","SMF",344,2521,18,45,"2013-03-27T22:00:00Z"
2013,8,21,1449,"1455",-6,1543,1630,-47,"DL",1164,"N336NB","JFK","BOS",36,187,14,55,"2013-08-21T18:00:00Z"
2013,7,21,2055,"2028",27,2328,2247,41,"B6",135,"N534JB","JFK","PHX",287,2153,20,28,"2013-07-22T00:00:00Z"
2013,7,13,807,"810",-3,1028,1029,-1,"DL",27,"N3772H","JFK","ATL",104,760,8,10,"2013-07-13T12:00:00Z"
2013,2,14,1403,"1355",8,1754,1708,46,"DL",2079,"N337NW","LGA","FLL",191,1076,13,55,"2013-02-14T18:00:00Z"
2013,7,17,1100,"1100",0,1218,1213,5,"US",2171,"N745VJ","LGA","DCA",45,214,11,0,"2013-07-17T15:00:00Z"
2013,6,18,1857,"1815",42,2209,2140,29,"DL",17,"N198DN","JFK","LAX",331,2475,18,15,"2013-06-18T22:00:00Z"
2013,2,1,1531,"1535",-4,1901,1850,11,"AA",763,"N3EMAA","LGA","DFW",213,1389,15,35,"2013-02-01T20:00:00Z"
2013,9,4,821,"830",-9,1011,1030,-19,"DL",2119,"N310NW","LGA","MSP",138,1020,8,30,"2013-09-04T12:00:00Z"
2013,10,21,1326,"1329",-3,1617,1626,-9,"UA",1122,"N37471","EWR","PBI",156,1023,13,29,"2013-10-21T17:00:00Z"
2013,9,22,1154,"1159",-5,1447,1453,-6,"B6",323,"N646JB","JFK","LAX",332,2475,11,59,"2013-09-22T15:00:00Z"
2013,5,17,1631,"1611",20,1808,1808,0,"EV",4092,"N16541","EWR","DAY",83,533,16,11,"2013-05-17T20:00:00Z"
2013,9,25,1927,"1930",-3,2224,2231,-7,"DL",1435,"N325NB","LGA","TPA",137,1010,19,30,"2013-09-25T23:00:00Z"
