sport,year,month,day,timestamp,total_distance_m,minutes_per_mile,total_elapsed_time_s,avg_heart_rate_bpm,steps_per_minute,total_ascent_m,total_descent_m
cycling,2023,6,24,2023-06-24T17:09:12Z,8046.72,10.622734060171485,3553.937,121,510,225,213
cycling,2023,6,24,2023-06-24T18:01:54Z,8046.72,10.272846994229413,3161.872,111,510,187,194
cycling,2023,6,24,2023-06-24T18:52:11Z,8046.72,10.0571441702036,3016.689,122,510,162,172
cycling,2023,6,24,2023-06-24T18:57:54Z,928.39,9.474533204497703,327.928,120,510,31,18
cycling,2023,6,24,2023-06-24T19:15:57Z,1387.66,14.102210043077289,743.851,116,510,17,33
cycling,2023,6,25,2023-06-25T19:00:44Z,8046.72,9.043291807799394,2901.82,106,510,278,121
cycling,2023,6,25,2023-06-25T19:52:19Z,8046.72,10.316309039205,3094.582,102,510,191,243
cycling,2023,6,25,2023-06-25T21:14:00Z,8046.72,16.335203107145556,4900.664,111,510,395,151
cycling,2023,6,25,2023-06-25T22:23:33Z,8046.72,13.91203501137604,4173.644,113,510,195,471
cycling,2023,6,25,2023-06-25T22:51:45Z,4298.66,10.539254814119058,1688.983,118,510,26,92
running,2023,6,27,2023-06-27T00:09:44Z,1609.34,9.018965535283456,541.124,126,142,12,15
running,2023,6,27,2023-06-27T00:18:54Z,1609.34,8.765491340500981,549.746,137,146,14,7
running,2023,6,27,2023-06-27T00:28:40Z,1609.34,9.214154414954654,586.546,129,144,2,7
running,2023,6,27,2023-06-27T00:38:46Z,1609.34,10.087402595687477,605.278,128,140,20,12
running,2023,6,27,2023-06-27T00:42:19Z,646.77,8.754048140317558,211.064,124,150,5,10
running,2023,6,27,2023-06-27T23:17:44Z,1535.52,8.387243121304879,480.205,126,150,11,13
running,2023,6,27,2023-06-27T23:20:55Z,818.73,6.231971073869191,190.21,140,156,3,2
running,2023,6,27,2023-06-27T23:24:06Z,803.75,6.395422866459944,191.644,147,154,0,0
running,2023,6,27,2023-06-27T23:27:19Z,801.24,6.457006139126866,192.878,159,154,0,2
running,2023,6,27,2023-06-27T23:30:34Z,810.44,6.457006139126866,195.101,165,154,0,0
running,2023,6,27,2023-06-27T23:33:48Z,799.31,6.5197869474800685,194.279,179,152,2,3
running,2023,6,27,2023-06-27T23:36:59Z,804.11,6.351504499628937,190.421,183,154,2,0
running,2023,6,27,2023-06-27T23:37:47Z,201.63,6.461672729928451,48.569,185,154,0,2
running,2023,6,27,2023-06-27T23:48:23Z,1480.22,11.428378143132937,633.471,146,126,17,8
running,2023,6,28,2023-06-28T22:43:34Z,1609.34,8.197556082497861,491.909,138,152,11,17
running,2023,6,28,2023-06-28T22:51:17Z,1609.34,7.716456703663119,462.99,154,150,22,16
running,2023,6,28,2023-06-28T22:59:28Z,1609.34,8.190046870819236,491.367,151,150,27,47
running,2023,6,28,2023-06-28T23:07:37Z,1609.34,8.142806163306922,488.522,160,150,37,12
running,2023,6,28,2023-06-28T23:08:03Z,93.11,6.957821920086381,24.151,155,146,0,2
cycling,2023,6,30,2023-06-30T02:10:27Z,8046.72,20.046639388589686,6015.722,109,510,90,73
cycling,2023,6,30,2023-06-30T03:11:58Z,4382.51,21.789117385810723,3685.67,114,510,41,60
