sport,year,month,day,timestamp,total_distance_m,minutes_per_mile,total_elapsed_time_s,avg_heart_rate_bpm,steps_per_minute,total_ascent_m,total_descent_m
running,2020,4,22,2020-04-22T21:30:32Z,1609.34,6.53567251461988,392.13,151,153.015625,0,0
running,2020,4,22,2020-04-22T21:36:36Z,1609.34,6.07253792166629,364.326,178,156.25,0,0
running,2020,4,22,2020-04-22T21:43:33Z,1609.34,6.95962636222107,417.57,173,145.8125,2,2
running,2020,4,22,2020-04-22T21:47:26Z,898.69,6.49138431752178,217.521,184,149.734375,0,2
running,2020,4,23,2020-04-23T00:18:50Z,1609.34,7.16793158738642,430.022,145,149.4375,2,2
running,2020,4,23,2020-04-23T00:25:25Z,1609.34,6.58865143699337,395.365,176,149.546875,2,2
running,2020,4,23,2020-04-23T00:31:46Z,1609.34,6.34399243140965,380.668,185,138.828125,2,2
running,2020,4,23,2020-04-23T00:35:17Z,772.4,7.2200269179004,207.919,182,127.015625,0,0
running,2020,4,24,2020-04-24T02:46:30Z,1609.34,6.72915203211239,403.733,148,152.140625,0,0
running,2020,4,24,2020-04-24T02:52:45Z,1609.34,6.24502910360885,374.743,175,154.46875,0,0
running,2020,4,24,2020-04-24T02:58:57Z,1609.34,6.20745197870863,372.444,184,154.90625,0,0
running,2020,4,24,2020-04-24T03:07:18Z,1609.34,8.34808590102708,500.94,156,135.796875,0,2
running,2020,4,24,2020-04-24T03:11:05Z,879.07,6.80253613999493,222.925,178,147.125,0,0
running,2020,4,25,2020-04-25T16:32:09Z,1609.34,7.81766248907024,469.039,149,146.140625,2,2
running,2020,4,25,2020-04-25T16:35:33Z,568.36,9.6275664034458,204.028,159,126.46875,0,0
running,2020,4,25,2020-04-25T16:56:34Z,1609.34,21.0206896551724,1260.829,122,61.46875,0,0
walking,2020,4,26,2020-04-26T01:29:28Z,1609.34,21.6309677419355,1298.112,88,22.875,2,0
walking,2020,4,26,2020-04-26T02:12:33Z,1609.34,43.1228295819936,2585.567,74,13.328125,2,0
walking,2020,4,26,2020-04-26T02:26:43Z,971.43,23.3035621198957,843.946,92,43.15625,0,0
running,2020,5,8,2020-05-08T00:23:51Z,1609.34,6.89699151452816,413.8,152,145.390625,0,0
running,2020,5,8,2020-05-08T00:30:03Z,1609.34,6.19741219963031,371.863,187,152.984375,2,4
running,2020,5,8,2020-05-08T00:32:45Z,285.62,6.22473891854259,66.287,194,151.75,0,0
running,2020,5,8,2020-05-08T00:40:30Z,1609.34,7.17560192616372,430.531,184,142.234375,0,0
running,2020,5,8,2020-05-08T00:40:55Z,69.69,6.83025210084034,17.746,193,150.109375,0,0
running,2020,5,8,2020-05-08T19:46:04Z,1609.34,7.55135135135135,453.043,156,135.546875,0,0
running,2020,5,8,2020-05-08T19:53:24Z,1436.96,6.83721641600816,436.498,171,149.328125,2,2
running,2020,5,13,2020-05-13T21:02:37Z,1609.34,7.37081615828524,442.274,132,151.34375,2,0
running,2020,5,13,2020-05-13T21:09:22Z,1609.34,6.76308623298033,405.758,166,152.046875,2,0
running,2020,5,13,2020-05-13T21:12:41Z,795.5,6.60813008130081,195.986,179,151.578125,0,2
running,2020,5,15,2020-05-15T00:28:53Z,1609.34,6.76991418475517,406.164,163,150.90625,2,2
running,2020,5,15,2020-05-15T00:34:47Z,1609.34,5.91322751322751,354.808,190,158.046875,2,2
running,2020,5,15,2020-05-15T00:42:40Z,1599.67,7.00323759791123,469.695,186,149.734375,2,2
running,2020,5,16,2020-05-16T00:51:39Z,1609.34,6.52613138686131,391.566,166,151.859375,2,0
running,2020,5,16,2020-05-16T00:58:00Z,1609.34,6.354513148543,381.27,186,152.03125,0,2
running,2020,5,16,2020-05-16T01:04:32Z,1609.34,6.5308984660336,391.896,193,151.59375,2,0
running,2020,5,16,2020-05-16T01:12:30Z,1609.34,6.97229009617884,477.615,191,148.34375,2,2
running,2020,5,16,2020-05-16T01:12:39Z,23.13,6.64578790882062,5.731,199,152,0,0
running,2020,5,16,2020-05-16T20:59:32Z,1609.34,7.70094745908699,462.101,156,137.28125,18,5
running,2020,5,16,2020-05-16T21:07:09Z,1609.34,7.62216538789429,457.272,173,142.8125,8,19
running,2020,5,16,2020-05-16T21:17:56Z,1609.34,10.0722493428464,646.417,169,120.484375,58,26
running,2020,5,16,2020-05-16T21:26:45Z,1473.77,8.79711380780584,525.974,176,133.75,29,55
walking,2020,5,17,2020-05-17T19:59:19Z,1609.34,16.0805755395683,964.61,100,94.890625,8,70
walking,2020,5,17,2020-05-17T20:15:55Z,1609.34,16.5980198019802,995.604,94,85.3125,0,0
walking,2020,5,17,2020-05-17T20:20:16Z,280.56,24.630303030303,257.568,96,60.640625,0,0
running,2020,5,17,2020-05-17T20:28:16Z,1609.34,7.23756071235834,434.2,151,149.796875,7,0
running,2020,5,17,2020-05-17T20:35:38Z,1609.34,6.97229009617884,442.709,165,148.8125,0,2
running,2020,5,17,2020-05-17T20:42:32Z,1609.34,6.89521850899743,413.752,176,150.640625,0,0
running,2020,5,17,2020-05-17T20:52:48Z,1609.34,10.2689127105666,616.178,146,128.578125,0,0
running,2020,5,17,2020-05-17T20:53:40Z,174.89,7.61135073779796,49.634,168,150.375,0,0
walking,2020,5,17,2020-05-17T21:41:44Z,1112.54,11.9689424364123,496.485,103,46.390625,10,0
walking,2020,5,17,2020-05-17T21:59:26Z,1609.34,17.6812129202373,1060.574,106,50.4375,2,0
walking,2020,5,17,2020-05-17T22:07:32Z,752.37,17.1061224489796,479.863,107,79.59375,4,4
running,2020,5,19,2020-05-19T19:43:39Z,1609.34,7.25910690121786,439.522,153,150.3125,5,4
running,2020,5,19,2020-05-19T19:50:29Z,1609.34,6.84244897959184,410.547,171,150.375,0,0
running,2020,5,19,2020-05-19T19:53:14Z,473.52,6.60975850172499,116.678,177,150.15625,0,0
running,2020,5,19,2020-05-19T19:57:12Z,813.97,5.34310756972112,162.144,180,163.5,7,0
running,2020,5,19,2020-05-19T20:01:17Z,796.56,5.22141327623126,245.632,175,155.1875,0,2
running,2020,5,19,2020-05-19T20:10:27Z,1609.34,7.81766248907024,549.843,166,136.78125,0,0
running,2020,5,19,2020-05-19T20:17:41Z,1609.34,6.85468949654996,433.489,185,149.890625,2,0
running,2020,5,19,2020-05-19T20:18:15Z,109.28,7.62649985783338,31.074,190,150.90625,5,0
running,2020,5,21,2020-05-21T03:04:01Z,1609.34,7.01055933089388,420.665,165,149.5625,2,2
running,2020,5,21,2020-05-21T03:11:39Z,1609.34,6.88283294842186,457.957,175,149.0625,5,2
running,2020,5,21,2020-05-21T03:18:38Z,1609.34,6.97591677503251,418.595,175,149.875,0,2
running,2020,5,21,2020-05-21T03:24:09Z,1110.33,7.80855895196507,323.232,179,128.125,0,2
running,2020,5,22,2020-05-22T03:14:37Z,1609.34,6.94341185607041,416.569,150,150.9375,4,5
running,2020,5,22,2020-05-22T03:21:23Z,1609.34,6.7664984863774,405.995,169,151.015625,0,0
running,2020,5,22,2020-05-22T03:27:57Z,1609.34,6.56446402349486,393.822,176,151.015625,0,0
running,2020,5,22,2020-05-22T03:30:35Z,623.25,6.66892093485828,154.975,180,150.53125,0,0
training,2020,5,22,2020-05-22T17:03:33Z,42949672.95,6.2450766577956e-06,30,59,513.984375,65535,65535
training,2020,5,22,2020-05-22T17:03:36Z,42949672.95,6.2450766577956e-06,3,59,513.984375,65535,65535
training,2020,5,22,2020-05-22T17:03:39Z,42949672.95,6.2450766577956e-06,3,58,513.984375,65535,65535
training,2020,5,22,2020-05-22T17:03:42Z,42949672.95,6.2450766577956e-06,3,57,513.984375,65535,65535
training,2020,5,22,2020-05-22T17:03:42Z,42949672.95,6.2450766577956e-06,0.142,255,513.984375,65535,65535
training,2020,5,22,2020-05-22T17:03:46Z,42949672.95,6.2450766577956e-06,3.647,57,513.984375,65535,65535
training,2020,5,22,2020-05-22T17:04:39Z,42949672.95,6.2450766577956e-06,27.443,64,513.984375,65535,65535
running,2020,5,23,2020-05-23T00:17:55Z,1609.34,6.73760361718161,435.226,134,149.5625,2,0
running,2020,5,23,2020-05-23T00:20:48Z,700.96,6.63756495916852,173.447,164,151.953125,0,2
running,2020,5,23,2020-05-23T00:23:32Z,824.77,5.32507444907683,163.733,180,165.8125,2,2
running,2020,5,23,2020-05-23T00:24:54Z,118.59,18.4982068965517,81.809,156,100.765625,0,0
running,2020,5,23,2020-05-23T00:27:37Z,814.13,5.39469026548673,163.735,151,163.734375,2,2
running,2020,5,23,2020-05-23T00:36:04Z,1609.34,7.69873708381171,506.999,162,136.84375,5,5
running,2020,5,23,2020-05-23T00:38:52Z,501.93,6.90409266409266,159.777,176,139.359375,0,0
running,2020,5,23,2020-05-23T18:32:29Z,1609.34,7.71423641069888,462.793,136,139.109375,5,5
running,2020,5,23,2020-05-23T18:39:27Z,1609.34,6.96866718628215,418.074,164,153,0,0
running,2020,5,23,2020-05-23T18:46:17Z,1609.34,6.83721641600816,410.225,168,152.515625,0,0
running,2020,5,23,2020-05-23T18:54:14Z,1609.34,6.87753846153846,476.857,170,149.703125,0,0
running,2020,5,23,2020-05-23T19:00:24Z,1609.34,6.16748677856979,370.06,178,154.953125,0,0
running,2020,5,23,2020-05-23T19:03:30Z,636.4,6.44614275414564,181.861,174,154.3125,0,0
running,2020,5,25,2020-05-25T03:13:05Z,1609.34,7.1929203539823,431.601,145,148.734375,4,5
running,2020,5,25,2020-05-25T03:19:47Z,1609.34,6.70392401899525,402.283,163,150.953125,0,0
running,2020,5,25,2020-05-25T03:27:14Z,1609.34,6.84594180704441,447.346,165,147.046875,2,5
running,2020,5,25,2020-05-25T03:34:07Z,1609.34,6.88459958932238,413.043,168,147.203125,0,0
running,2020,5,25,2020-05-25T03:41:36Z,1608.92,6.60650246305419,396.296,177,151.28125,0,0
walking,2020,5,25,2020-05-25T17:29:27Z,1609.34,23.4256768558952,1405.45,109,87.4375,100,28
walking,2020,5,25,2020-05-25T17:50:54Z,1609.34,21.45792,1287.469,96,95.84375,20,5
walking,2020,5,25,2020-05-25T18:17:23Z,1609.34,26.4781836130306,1588.74,106,72.5625,50,21
walking,2020,5,25,2020-05-25T18:45:39Z,1336.4,26.3481335952849,1312.638,110,75.28125,46,31
walking,2020,5,25,2020-05-25T20:04:18Z,1609.34,29.7365853658537,1784.658,110,70.09375,101,26
walking,2020,5,25,2020-05-25T20:36:06Z,1495.7,32.8303549571604,1831.835,135,65.5625,197,14
walking,2020,5,25,2020-05-25T21:31:15Z,1609.34,24.4506836827712,1467.247,102,88.046875,19,232
walking,2020,5,25,2020-05-25T21:54:27Z,1609.34,23.20276816609,1392.376,116,96.34375,17,62
walking,2020,5,25,2020-05-25T22:16:19Z,1609.34,21.8779771615008,1312.39,116,94.875,20,21
walking,2020,5,25,2020-05-25T22:45:24Z,1609.34,29.0915401301518,1744.942,113,72.796875,7,105
walking,2020,5,25,2020-05-25T22:45:30Z,1.68,61.8027649769585,3.882,105,76.75,0,0
running,2020,5,27,2020-05-27T14:18:31Z,1609.34,7.24342425060762,443.483,146,146.5,2,37
running,2020,5,27,2020-05-27T14:25:36Z,1609.34,7.08837209302326,425.269,165,150.546875,10,2
running,2020,5,27,2020-05-27T14:32:42Z,1609.34,6.93981888745149,425.954,170,149.078125,0,10
running,2020,5,27,2020-05-27T14:39:50Z,1609.34,7.13551476456504,428.075,175,150.953125,2,5
running,2020,5,27,2020-05-27T14:46:55Z,1609.34,7.08088701161563,424.878,181,150.75,0,0
running,2020,5,27,2020-05-27T14:56:27Z,1609.34,7.13741351782863,571.727,175,150.203125,0,0
running,2020,5,27,2020-05-27T14:58:25Z,382.75,7.8519906323185,112.058,183,140.953125,7,0
running,2020,5,29,2020-05-29T03:34:40Z,1609.34,6.8407039020658,410.437,150,150.5625,0,0
running,2020,5,29,2020-05-29T03:41:45Z,1609.34,6.93802379720641,424.884,164,146,0,0
running,2020,5,29,2020-05-29T03:49:02Z,1609.34,7.0827567995775,437.045,170,146.984375,0,0
running,2020,5,29,2020-05-29T03:55:38Z,1609.34,6.58703339882122,395.251,176,150.484375,0,0
running,2020,5,29,2020-05-29T03:58:21Z,576.94,6.64249628528975,142.863,182,151.0625,2,2
running,2020,5,30,2020-05-30T00:09:21Z,1609.34,7.73871898442008,464.334,137,146.53125,2,4
running,2020,5,30,2020-05-30T00:17:34Z,1609.34,8.01865470852018,493.166,158,147.234375,12,10
running,2020,5,30,2020-05-30T00:24:50Z,1609.34,7.2610720086627,435.707,165,152.71875,0,2
running,2020,5,30,2020-05-30T00:31:58Z,1609.34,7.13551476456504,428.123,173,144.71875,4,4
running,2020,5,30,2020-05-30T00:38:48Z,1609.34,6.83025210084034,409.853,180,148.046875,3,2
running,2020,5,30,2020-05-30T00:39:31Z,148.73,7.36676737160121,40.847,183,142.484375,0,0
running,2020,5,30,2020-05-30T22:45:15Z,1609.34,7.83593339176161,470.213,158,148.921875,45,5
running,2020,5,30,2020-05-30T22:53:18Z,1188.19,10.4205128205128,483.448,178,152.15625,120,24
running,2020,5,30,2020-05-30T23:04:19Z,1609.34,9.04329062710721,661.067,162,141.796875,19,54
running,2020,5,30,2020-05-30T23:15:24Z,1609.34,9.53854907539118,664.943,169,140.65625,116,17
running,2020,5,30,2020-05-30T23:16:48Z,229.39,8.94676450967311,76.515,168,123.21875,0,5
running,2020,5,31,2020-05-31T23:21:43Z,1609.34,7.20451248992748,432.214,147,149.140625,0,0
running,2020,5,31,2020-05-31T23:28:46Z,1609.34,7.06410323939953,423.805,165,150.15625,2,0
running,2020,5,31,2020-05-31T23:35:52Z,1609.34,7.08649933949802,425.176,167,150.765625,3,0
running,2020,5,31,2020-05-31T23:42:51Z,1609.34,6.81463414634146,419.96,171,148.875,9,12
running,2020,5,31,2020-05-31T23:49:50Z,1609.34,6.98136387298282,418.863,177,151.03125,2,2
running,2020,5,31,2020-05-31T23:56:45Z,1609.34,6.91477184841454,414.887,179,151.046875,0,2
running,2020,6,1,2020-06-01T00:03:28Z,1609.34,6.71735537190083,403.061,182,151.53125,0,0
running,2020,6,1,2020-06-01T00:10:04Z,1609.34,6.58865143699337,395.278,187,152.421875,0,0
running,2020,6,1,2020-06-01T00:12:00Z,345.05,6.61138772491989,85.048,192,154.328125,0,0
running,2020,6,2,2020-06-02T00:32:17Z,1609.34,7.32052401746725,449.641,147,149.046875,2,0
running,2020,6,2,2020-06-02T00:34:23Z,406.4,7.08837209302326,125.416,161,148.578125,0,0
running,2020,6,2,2020-06-02T00:36:16Z,541.83,5.62904512067156,113.719,162,161.046875,0,0
running,2020,6,2,2020-06-02T00:37:20Z,212.53,8.04752475247525,63.772,171,151.0625,0,0
