eis_id,title,document_type,lead_agency,state,all_states,filed_date,filed_year,federal_register_date,comment_letter_date,comment_due_date,epa_impact,epa_adequacy,attachment_count
83232,Clinton River Federal Navigation Channel Confined Disposal Facility Construction for Maintenance Dredging Updated and Additional Information MI,Draft Supplement,U.S. Army Corps of Engineers,MI,MI,1987-01-02,1987,1987-01-09,1987-02-23,1987-02-23,Environmental Concerns,2.0,0
78382,CA-710/Long Beach Freeway (Formerly CA-7) Construction I-10/San Bernardino Freeway to I-210/Foothill Freeway Meridian Variation Alternative Los Angeles County CA,Third Draft Supplemental,Federal Highway Administration,CA,CA,1987-01-05,1987,1987-01-16,1987-04-01,1987-03-30,Lack of Objections,,0
83709,Elliott Bay Small Craft Harbor/Marina Development Permit WA,Final,U.S. Army Corps of Engineers,WA,WA,1987-01-05,1987,1987-01-16,,1987-02-17,,,0
78828,Blankerbaker Road/I-64 Interchange Improvement KY-1819 at Jeffersontown to US 60 at Middletown 404 Permit KY,Final,Federal Highway Administration,KY,KY,1987-01-07,1987,1987-01-16,1987-03-04,1987-02-18,Environmental Concerns,2.0,0
83553,Metropolitan Denver Water Supply Project Two Forks Dam and Reservoir and Williams Fork Gravity Collection System Construction 404 Permit and Approvals Douglas Jefferson and Grand Counties CO,Draft,U.S. Army Corps of Engineers,CO,CO,1987-01-09,1987,1987-01-16,1987-04-23,1987-04-23,Environmentally Unsatisfactory,3.0,1
75230,Hickey Mountain - Table Mountain Oil and Gas Field Development Lease Section 10 and 440 Permits WY,Draft,Bureau of Land Management,WY,WY,1987-01-09,1987,1987-01-16,1987-03-02,1987-03-02,Lack of Objections,,0
83301,Lower San Joaquin River and Tributaries Flood Control Plan Revised Information concerning Channel Clearing and Snagging Modifications Fresno Madera Merced Staislaus and San Joaquin Counties CA,Revised Draft,U.S. Army Corps of Engineers,CA,CA,1987-01-09,1987,1987-01-16,1987-03-06,1987-03-02,Environmentally Unsatisfactory,3.0,0
77972,CSAH-18 Completion I-494 to NM-13 and MN-101 south of the Minnesota River Hennepin and Scott Counties MN,Final,Federal Highway Administration,MN,MN,1987-01-12,1987,1987-01-23,1987-03-09,1987-02-23,Environmental Concerns,2.0,0
75395,Shone-Eureka Area Wilderness Recommendations Designation or Nondesignation Antelope Roberts and Simpson Park WSAs Updated and Additional Information Battle Mountain District Nye Lander and Eureka Counties NV,Draft Supplement,Bureau of Land Management,NV,NV,1987-01-13,1987,1987-02-06,,1987-04-16,,,0
76709,Rio Nuevo - North Redevelopment Project Land Use Changes and New Information CDBG Tuson Pima County AZ,Draft Supplement,Community Development Block Grant,AZ,AZ,1987-01-13,1987,1987-01-23,1987-04-27,1987-03-09,Environmental Concerns,2.0,0
79003,US 117 Construction Mt. Olive Bypass to I-40 near Faison Funding and 404 permit Wayne Duplin and Sampson Counties NC,Draft,Federal Highway Administration,NC,NC,1987-01-13,1987,1987-02-06,1987-03-02,1987-03-02,Environmental Concerns,2.0,0
82975,Hayden Island Marine Industrial Park Development Section 10 and 404 Permits OR,Final,U.S. Army Corps of Engineers,OR,OR,1987-01-14,1987,1987-01-23,1987-02-20,1987-02-23,Environmental Concerns,2.0,0
79611,GA-371/I-85 Highway Connector Construction GA-371 to I-85 Funding 404 Permit and USCG Permit Forsyth and Gwinnett Counties GA,Draft,Federal Highway Administration,GA,GA,1987-01-15,1987,1987-01-23,1987-03-13,1987-03-16,Environmental Concerns,2.0,0
77905,Hot Springs East and West Arterial Construction US 270 East to US 270 West Funding Garland County AZ,Final,Federal Highway Administration,AR,AR,1987-01-16,1987,1987-01-23,1987-02-09,1987-02-23,Lack of Objections,,0
76111,Jessup Federal Correctional Institution Complex Construction and Operation Wayne County GA,Draft,Bureau of Prisons,GA,GA,1987-01-16,1987,1987-01-23,1987-03-04,1987-03-09,Environmental Concerns,2.0,0
89089,Gulf Coast Strategic Homeporting Dredging C/O/M FL LA AL MS and TX,Final,United States Navy,,,1987-01-16,1987,1987-01-23,1987-02-23,1987-02-23,Environmental Concerns,1.0,0
79248,Mount Hood Highway/US 26 Improvements Wildwood to Rhododendron Clackamas County OR,Final,Federal Highway Administration,OR,OR,1987-01-16,1987,1987-01-23,1987-02-20,1987-02-23,Lack of Objections,,0
77698,Mojave/Kern River/El Dorado/Transwestern Natural Gas Pipeline Projects Construction Operation and Maintenance Licenses 404 Permit AR CA WY NM NV UT and TX,Draft,Federal Energy Regulatory Commission,,,1987-01-16,1987,1987-01-23,1987-06-11,1987-04-24,Environmental Objections,2.0,0
83054,Blanchard River Flood Protection Plan OH,Draft,U.S. Army Corps of Engineers,OH,OH,1987-01-20,1987,1987-01-30,1987-04-10,1987-03-16,Lack of Objections,,0
82014,White Sands Missle Range Ground Based Free Electron Laser Technology Integration Experiment Facility Construction and Operation Possible Section 10 and 404 Permits NM,Final,United States Army,NM,NM,1987-01-21,1987,1987-01-30,1987-02-10,1987-03-02,Lack of Objections,,0
85699,Green Mountain/Finger Lakes National Forest Land and Resource Management Plan NY and VT.,Final,Forest Service,,,1987-01-21,1987,1987-01-30,1987-02-25,1987-03-02,Lack of Objections,,0
84691,Davids Island Project Marina and Residential Development Bridge and Road Construction CGD Bridge Permit COE Section 404 Permit City of Rochelle Long Island Sound Westchester County NY,Draft,U.S. Coast Guard,NY,NY,1987-01-21,1987,1987-01-30,1987-04-07,1987-04-03,Environmental Objections,2.0,0
85481,WITHDRAWN - Eldorado National Forest Highway 88 Future Recreation Use Plan Alpine Amador and Eldorado Counties CA,Draft,Forest Service,CA,CA,1987-01-22,1987,1987-04-24,1987-04-24,1987-09-15,,,0
79023,KY-44 Reconstruction KY-55 to KY-44 Relocated KY.,Final,Federal Highway Administration,KY,KY,1987-01-23,1987,1987-01-30,1987-03-06,1987-03-02,Environmental Concerns,1.0,0
88888,Cherry 1 Military Operating Area (MOA) and CORE MOA Establishment North Carolina Outer Banks/Cape Lookout National Seashore Crave Beaufort Pamlico Washington and Hyde Counties NC,Draft,United States Marine Corps,NC,NC,1987-01-23,1987,1987-01-30,1987-03-16,1987-03-16,Lack of Objections,,0
84325,Six Rivers National Forest Land and Resource Management Plan Implementation Humbolt Del Norte Siskiyou and Trinity Counties CA,Draft,Forest Service,CA,CA,1987-01-23,1987,1987-01-30,1987-06-05,1987-05-25,Environmental Objections,2.0,0
83066,Chignik Small Boat Harbor Facility Development Implementation Anchorage Bay AK,Draft,U.S. Army Corps of Engineers,AK,AK,1987-01-23,1987,1987-01-30,1987-03-16,1987-03-16,Environmental Concerns,2.0,0
75781,All American Crude Oil Pipeline Project Construction and Operation Texas Extension McCarney to Webster and Texas City US Army COE Section 10 and 404 Permits Issuance Fort Bend Galvestion Harris Hays Travis and Caldwell Counties TX,Draft Supplement,Bureau of Land Management,TX,TX,1987-01-23,1987,1987-01-30,1987-03-31,1987-03-31,Lack of Objections,,0
82851,Kellogg Creek Detention Basin Flood Control Plan Marsh-Kellogg Watershed 404 Permit CA.,Draft,Soil Conservation Service,CA,CA,1987-01-26,1987,1987-02-06,1987-04-09,1987-03-23,Lack of Objections,,0
75507,Pocatello Resource Area Resource Management Plan Implementation Banncock Bear Lake Bingham Bonneville Caribou Franklin and Power Counties ID,Draft,Bureau of Land Management,ID,ID,1987-01-27,1987,1987-01-30,1987-04-30,1987-04-30,Environmental Concerns,2.0,0
83061,Pamo Dam and Reservoir Emergency Water Supply Project Construction Santa Ysabel Creek CA,Final,U.S. Army Corps of Engineers,CA,CA,1987-01-27,1987,1987-02-13,1987-03-11,1987-03-09,Environmental Objections,2.0,0
86984,Yukon Delta National Wildlife Refuge Long Term Management Plan and Wilderness Review Implementation,Final,Fish and Wildlife Service,AK,AK,1987-01-28,1987,1988-02-05,1988-03-07,1988-03-07,Environmental Concerns,1.0,0
75435,Oregon Statewide Wilderness Study Areas Wilderness Designation Additional Lands several OR,Draft Supplement,Bureau of Land Management,OR,OR,1987-01-28,1987,1987-02-06,1987-04-24,1987-04-24,Environmental Concerns,2.0,0
82822,West Branch Brandywine Creek Watershed Protection and Flood Prevention PA,Final,Soil Conservation Service,PA,PA,1987-01-28,1987,1987-02-06,1987-03-09,1987-03-09,Lack of Objections,,0
82853,Howard Creek Watershed Flood Control and Watershed Protection WV,Draft,Soil Conservation Service,WV,WV,1987-01-28,1987,1987-02-06,1987-03-24,1987-03-23,Lack of Objections,,0
