Shoe Name,Shoe Brand,Shoe Model,Shoe Default Sport Types
green and white,Nike,Road Pegasus,""
blue and orange,Nike,Trail Pegasus,""
"",Nike,Miler,""
"",Nike,Flyknit Infinity,""
"",Nike,Pegasus 37,""
black milers,Nike,Miler,""
black 2.0,Nike,Miler,""
,HOKA,Clifton 8,""
Black Davis,Nike,Pegasus,""
,HOKA,Clifton 8,""
,Nike,old wildhorse,""
orange speedgoat,HOKA,Speedgoat,""
"",Nike,Miler Shield,""
all black,Nike,Pegasus 37,""
,Nike,React Infinity,""
pegasus turbo,Nike,Pegasus Turbo,Run
Washington Pegasus turbo,Nike,Pegasus Turbo,""
,Nike,Pegasus Trail,""
